id,redemption_status
3,0.9143476770676018
4,0.0005535531543264711
5,0.0013902058734702211
8,8.079513795319994e-05
10,0.00042184626388593966
12,0.022068599704692323
13,9.064391454197925e-05
16,0.00011698895297859728
18,0.00827651861723781
31,0.00048307830476102687
36,0.0006145761766919582
37,0.00022687724788894874
38,0.00016732461396336802
40,0.00013072932894603106
41,2.0573649870087886e-05
44,0.00019412982323951093
47,0.0007051804482750905
49,9.551921629086338e-05
50,3.623690587116304e-05
53,0.0035841358580989855
57,0.0002335179060325908
59,4.25808496656245e-05
60,0.0004724641878156691
64,2.576046375265963e-05
67,0.0003467464482272491
68,3.534917416848221e-05
70,4.932870632405241e-05
73,0.00019001498112711143
76,1.6771116590933227e-05
78,0.000258456743239823
81,0.00022934729807131914
87,0.021745850663239294
89,0.000239374973946022
94,0.003447468364524788
96,0.000502702302342564
98,0.000194571003717529
100,0.0004723906469653142
105,0.0004251014478413209
108,0.00022898552073396673
109,0.00025867837227153985
111,3.555699256109261e-05
112,0.0041821856491317975
114,0.02937097263898585
116,0.025863144615477507
119,0.8356233402933734
120,0.00012584224209590412
126,0.002310318455878283
127,0.038318114960187555
128,0.0003523437444929993
132,4.4404231930764765e-05
133,0.00012904669671832283
138,0.0002001337903570387
140,0.0006479036907361705
143,7.656422157158213e-05
145,0.0003715323450870686
147,0.00014050708354159687
148,0.00188298128594287
149,0.0013030073071273992
150,0.00047219270771056536
153,0.00015263421545655637
157,0.0002725108385567624
162,0.00029838706650095383
163,6.19433895832134e-05
166,5.4786333038675604e-05
168,0.0003397930014461913
173,0.00026140912135068524
174,5.5320612070852056e-05
175,0.0001441232698616591
177,0.0002726268938224128
178,0.008430100698400507
185,7.459247605303622e-05
189,0.059567287041273884
190,1.0808313668459063e-05
191,7.550935624017344e-05
199,0.8828080478580467
201,0.00018044312441698826
203,3.515481279649953e-05
204,0.0007534312016402397
210,0.8185879040970827
211,5.038507031780102e-05
212,0.0002520936646737533
216,0.00011091807925469989
223,0.00013391333687454103
226,0.0008589949797876522
227,0.6080702811213003
229,0.0001325347246579031
232,3.459795552742914e-05
234,0.00030936052049024824
235,3.0650204675021024e-05
236,0.036035031961782885
237,3.9522606838292065e-05
244,4.8819490376292274e-05
245,4.764920965342439e-05
246,0.0007779085454636516
248,9.59623704417016e-05
249,0.4907531794037893
251,0.007923792173397852
252,0.000652583815306815
253,5.8358435503975424e-05
256,0.0024744934720242677
257,6.092200045493191e-05
258,0.0001221995674549091
263,0.00027653749456252525
268,4.3019011913451483e-05
271,8.755129251814899e-05
272,0.00019489442996280482
274,0.06987098066511635
276,0.0005375708987699708
278,0.00020020296901967016
280,0.00027864175110796206
281,5.483053252720954e-05
285,0.00022425786694967687
288,3.4188294873235664e-05
289,0.019118845665024652
294,0.00017621200483615676
296,0.0011996899178734824
297,2.7101048371075456e-05
300,7.501141777559942e-05
302,0.00010105449731996899
303,0.005284123713109725
310,0.007177217114449266
